Index,Reference
1,(PDF) Phaleria macrocarpa (Scheff.) Boerl. (Mahkota Dewa) seed ...
2,"Bioactive compounds and advanced processing technology: Phaleria macrocarpa (sheff.) Boerl, a review - ResearchGate"
3,(PDF) Angiotensin converting enzyme (ACE) inhibitors activity from purified compounds Fructus Phaleria macrocarpa (Scheff ) Boerl - ResearchGate
4,"Antidiabetic Potential of Phaleria macrocarpa Fruit Liquid CO₂ Extract: Bioactivity, Cytotoxicity, Phytochemicals and Molecular Targets | Request PDF - ResearchGate"
5,Bridging Indigenous Knowledge and Scientific Evidence for Pharmacological Studies of Phaleria macrocarpa: A Review | Request PDF - ResearchGate
6,Analisis Komprehensif Konstituen Kimia dan Profil Fitokimia Phaleria macrocarpa (Scheff.) Boerl: Tinjauan Farmakologi dan Diversitas Senyawa Bioaktif
7,"Etnofarmakognosi, Kandungan Kimia serta Aktivitas Farmakologi Tanaman Mahkota Dewa (Phaleria macrocarpa (Scheff - Universitas Muhammadiyah Palu"
8,Chemical structures of constituents isolated from Phaleria macrocarpa extracts - ResearchGate
9,Review on Phaleria macrocarpa Pharmacological and Phytochemical Properties
10,Extraction and identification of biologically important proteins from the medicinal plant God's crown (Phaleria macrocarpa) | Request PDF - ResearchGate
