ligand,AGTR1,HMGCR,PDE5A,PPARG,RELA
264THM,-7.79,-4.67,-7.14,-7.14,-7.1
Apigenin,-9.0,-4.9,-8.11,-8.28,-8.95
Caffeic_acid,-7.02,-4.09,-6.14,-6.82,-6.78
Gallic_acid,-6.0,-4.05,-5.66,-5.66,-5.95
Kaempferol,-8.87,-4.82,-8.12,-8.19,-8.78
Lariciresinol,-8.17,-5.03,-8.26,-7.97,-8.68
Luteolin,-8.94,-5.26,-8.29,-8.2,-9.03
Mangiferin,-9.59,-5.79,-9.0,-7.85,-10.22
Matairesinol,-9.05,-5.14,-8.42,-7.96,-8.85
Myricetin,-9.12,-5.44,-8.27,-8.2,-9.22
Naringeninchalcone,-8.75,-4.86,-7.5,-7.82,-8.32
Phalerin,-9.96,-5.16,-9.27,-8.98,-9.44
Pinoresinol,-9.05,-5.22,-8.95,-8.85,-8.98
Quercetin,-8.96,-5.02,-8.39,-8.12,-8.93
Swertianin,-8.54,-5.05,-8.15,-8.11,-8.68
