receptor,gene,ligand,type,best_affinity_kcal,poses_found,status
1HWK,HMGCR,264THM,compound,-4.67,7,success
1HWK,HMGCR,Apigenin,compound,-4.9,9,success
1HWK,HMGCR,Caffeic_acid,compound,-4.09,9,success
1HWK,HMGCR,Gallic_acid,compound,-4.05,9,success
1HWK,HMGCR,Kaempferol,compound,-4.82,8,success
1HWK,HMGCR,Lariciresinol,compound,-5.03,9,success
1HWK,HMGCR,Luteolin,compound,-5.26,9,success
1HWK,HMGCR,Mangiferin,compound,-5.79,9,success
1HWK,HMGCR,Matairesinol,compound,-5.14,9,success
1HWK,HMGCR,Myricetin,compound,-5.44,9,success
1HWK,HMGCR,Naringeninchalcone,compound,-4.86,9,success
1HWK,HMGCR,Phalerin,compound,-5.16,9,success
1HWK,HMGCR,Pinoresinol,compound,-5.22,9,success
1HWK,HMGCR,Quercetin,compound,-5.02,8,success
1HWK,HMGCR,Swertianin,compound,-5.05,9,success
1TBF,RELA,264THM,compound,-7.1,9,success
1TBF,RELA,Apigenin,compound,-8.95,9,success
1TBF,RELA,Caffeic_acid,compound,-6.78,9,success
1TBF,RELA,Gallic_acid,compound,-5.95,9,success
1TBF,RELA,Kaempferol,compound,-8.78,9,success
1TBF,RELA,Lariciresinol,compound,-8.68,9,success
1TBF,RELA,Luteolin,compound,-9.03,9,success
1TBF,RELA,Mangiferin,compound,-10.22,9,success
1TBF,RELA,Matairesinol,compound,-8.85,9,success
1TBF,RELA,Myricetin,compound,-9.22,9,success
1TBF,RELA,Naringeninchalcone,compound,-8.32,9,success
1TBF,RELA,Phalerin,compound,-9.44,9,success
1TBF,RELA,Pinoresinol,compound,-8.98,9,success
1TBF,RELA,Quercetin,compound,-8.93,9,success
1TBF,RELA,Swertianin,compound,-8.68,9,success
3QXY,AGTR1,264THM,compound,-7.79,9,success
3QXY,AGTR1,Apigenin,compound,-9.0,9,success
3QXY,AGTR1,Caffeic_acid,compound,-7.02,9,success
3QXY,AGTR1,Gallic_acid,compound,-6.0,9,success
3QXY,AGTR1,Kaempferol,compound,-8.87,9,success
3QXY,AGTR1,Lariciresinol,compound,-8.17,9,success
3QXY,AGTR1,Luteolin,compound,-8.94,9,success
3QXY,AGTR1,Mangiferin,compound,-9.59,9,success
3QXY,AGTR1,Matairesinol,compound,-9.05,9,success
3QXY,AGTR1,Myricetin,compound,-9.12,9,success
3QXY,AGTR1,Naringeninchalcone,compound,-8.75,9,success
3QXY,AGTR1,Phalerin,compound,-9.96,9,success
3QXY,AGTR1,Pinoresinol,compound,-9.05,9,success
3QXY,AGTR1,Quercetin,compound,-8.96,9,success
3QXY,AGTR1,Swertianin,compound,-8.54,9,success
4YAY,PPARG,264THM,compound,-7.14,9,success
4YAY,PPARG,Apigenin,compound,-8.28,9,success
4YAY,PPARG,Caffeic_acid,compound,-6.82,9,success
4YAY,PPARG,Gallic_acid,compound,-5.66,9,success
4YAY,PPARG,Kaempferol,compound,-8.19,8,success
4YAY,PPARG,Lariciresinol,compound,-7.97,9,success
4YAY,PPARG,Luteolin,compound,-8.2,9,success
4YAY,PPARG,Mangiferin,compound,-7.85,9,success
4YAY,PPARG,Matairesinol,compound,-7.96,9,success
4YAY,PPARG,Myricetin,compound,-8.2,9,success
4YAY,PPARG,Naringeninchalcone,compound,-7.82,9,success
4YAY,PPARG,Phalerin,compound,-8.98,9,success
4YAY,PPARG,Pinoresinol,compound,-8.85,9,success
4YAY,PPARG,Quercetin,compound,-8.12,9,success
4YAY,PPARG,Swertianin,compound,-8.11,9,success
6MS7,PDE5A,264THM,compound,-7.14,9,success
6MS7,PDE5A,Apigenin,compound,-8.11,9,success
6MS7,PDE5A,Caffeic_acid,compound,-6.14,9,success
6MS7,PDE5A,Gallic_acid,compound,-5.66,9,success
6MS7,PDE5A,Kaempferol,compound,-8.12,9,success
6MS7,PDE5A,Lariciresinol,compound,-8.26,9,success
6MS7,PDE5A,Luteolin,compound,-8.29,9,success
6MS7,PDE5A,Mangiferin,compound,-9.0,9,success
6MS7,PDE5A,Matairesinol,compound,-8.42,9,success
6MS7,PDE5A,Myricetin,compound,-8.27,9,success
6MS7,PDE5A,Naringeninchalcone,compound,-7.5,9,success
6MS7,PDE5A,Phalerin,compound,-9.27,9,success
6MS7,PDE5A,Pinoresinol,compound,-8.95,9,success
6MS7,PDE5A,Quercetin,compound,-8.39,9,success
6MS7,PDE5A,Swertianin,compound,-8.15,9,success
1HWK,HMGCR,Atorvastatin,control,-5.31,9,success
3QXY,AGTR1,Losartan,control,-8.99,9,success
4YAY,PPARG,Pioglitazone,control,-8.26,9,success
6MS7,PDE5A,Sildenafil,control,-9.55,9,success
