Time_ns,RMSD_Backbone_A,RMSD_Core_HE_A,RMSD_BindingSite_A
0.0,0.0,0.007415297,0.0
0.02,0.64545465,0.58547986,0.7304602
0.04,0.75079644,0.71652645,0.9083892
0.06,0.76095176,0.7249567,0.8481847
0.08,0.8802326,0.81321836,0.8026952
0.1,0.8409869,0.7170634,0.7803506
0.12,0.9108807,0.8256326,0.74643904
0.14,0.84821343,0.7558512,1.0885695
0.16,0.9214663,0.8002682,1.0517405
0.18,0.8789981,0.79149395,1.0071213
0.2,0.8357164,0.7504486,0.88767135
0.22,0.9637338,0.8773584,0.87762296
0.24,0.96753407,0.80044,0.78859514
0.26,1.1443437,0.9264671,1.0539145
0.28,0.90179145,0.7634156,0.9771926
0.3,1.0336233,0.83256316,0.9438318
0.32,0.9657908,0.8612604,0.8550462
0.34,0.96594596,0.87544477,0.8827449
0.36,1.0538929,0.970866,1.0923936
0.38,1.0586078,0.95798063,0.87928104
0.4,1.10129,1.0158687,0.9319627
0.42,1.0241977,0.90241444,0.84971654
0.44,1.013355,0.9291932,1.0385177
0.46,1.0139091,0.9377053,0.8303131
0.48,1.1688516,1.0810577,0.8885987
0.5,1.0883962,0.98044693,1.0864011
0.52,1.0403038,0.9630185,1.0748158
0.54,1.0605514,0.95458806,1.0686355
0.56,1.0297399,0.95308924,1.0097177
0.58,1.0326811,0.9493607,0.8541434
0.6,1.033551,0.9839738,1.1950392
0.62,0.97020066,0.894243,0.9082461
0.64,1.0705317,0.9676323,0.93385863
0.66,1.0532887,0.9423847,1.0931871
0.68,1.0424972,0.9629613,1.0596328
0.7,1.0173748,0.9637319,0.9401319
0.72,0.93397856,0.8110518,1.0249212
0.74,1.0546387,0.9137981,1.1584443
0.76,1.1123527,1.0073893,1.0633245
0.78,1.038791,0.97817296,0.9427657
0.8,1.0626326,0.9493607,1.0523422
0.82,1.0650612,0.9550488,0.8654169
0.84,1.0493351,0.9181803,0.80941767
0.86,0.95196694,0.87412477,1.023084
0.88,0.95381385,0.8822645,1.029159
0.9,0.93506044,0.8330914,0.83473897
0.92,0.97696984,0.88201517,0.7615253
0.94,1.0168961,0.86333287,1.0083516
0.96,0.9691967,0.8107127,0.97648257
0.98,0.8916864,0.75213194,0.85119474
1.0,1.0265349,0.85694015,1.025454
1.02,0.9669146,0.79606587,0.8026845
1.04,1.1573907,1.0430031,0.9592933
1.06,1.1130259,0.9848675,0.8710786
1.08,1.2262592,1.0811849,0.94790155
1.1,1.3715796,1.20751,1.1299618
1.12,1.4475809,1.3942533,1.2918775
1.14,1.5213376,1.4542491,1.2983106
1.16,1.410265,1.3460755,1.4695356
1.18,1.2371428,1.1906575,1.0273799
1.2,1.1055659,1.0408921,1.1574636
1.22,1.1184961,1.0521102,0.94822156
1.24,1.1680183,1.0504626,0.93734276
1.26,1.2758837,1.1409682,0.87087953
1.28,1.4158034,1.3015484,1.0416518
1.3,1.414242,1.3236253,0.9914088
1.32,1.3845677,1.3284562,0.911286
1.34,1.3316305,1.1850796,1.1773885
1.36,1.3570333,1.2141628,1.0825398
1.38,1.4301711,1.2657154,0.899161
1.4,1.3135676,1.2234341,1.1309053
1.42,1.3354774,1.2596188,0.9767311
1.44,1.2731807,1.1709361,0.8659377
1.46,1.425687,1.290858,0.88918394
1.48,1.2796345,1.1072407,0.90136623
1.5,1.3886456,1.2613636,0.9899473
1.52,1.4150891,1.3473617,0.98008066
1.54,1.4690722,1.377889,0.93592656
1.56,1.341492,1.2595314,0.9396246
1.58,1.3430264,1.2753448,1.0971057
1.6,1.3389217,1.2363548,0.94185483
1.62,1.2749147,1.1942081,0.89941156
1.64,1.2077987,1.1231421,0.91826147
1.66,1.339313,1.2471154,1.003931
1.68,1.2806876,1.1995833,1.0419348
1.7,1.1859931,1.1015897,0.94724274
1.72,1.2044146,1.1282954,0.86832726
1.74,1.2662799,1.1851027,0.8274052
1.76,1.1859299,1.1201518,0.7099476
1.78,1.3196824,1.2580898,0.8001531
1.8,1.4126791,1.317588,0.8261469
1.82,1.4359717,1.3334757,0.90114504
1.84,1.4898264,1.3799626,1.0608755
1.86,1.5772407,1.4616036,1.0376323
1.88,1.6088784,1.5137017,0.9537008
1.9,1.450759,1.40051,0.9493181
1.92,1.4417491,1.3277937,0.8653568
1.94,1.2824116,1.1624291,0.895625
1.96,1.5057017,1.3883646,0.93461025
1.98,1.279576,1.1799645,0.92882246
2.0,1.285532,1.1841743,0.8045617
2.02,1.2654517,1.1113054,0.66389275
2.04,1.3306742,1.2155207,0.95624274
2.06,1.3645453,1.2848593,0.9758076
2.08,1.5124756,1.4072077,0.8496451
2.1,1.345923,1.265737,0.9965724
2.12,1.3508382,1.2602733,0.9690585
2.14,1.5597897,1.4561574,1.085475
2.16,1.4377438,1.3667701,0.81917024
2.18,1.3901279,1.2845597,0.97230965
2.2,1.4202397,1.3466473,0.9061245
2.22,1.4117247,1.2650201,0.90660274
2.24,1.5799448,1.4704181,0.98714083
2.26,1.6720152,1.5297992,0.9478832
2.28,1.49299,1.3552761,0.8966505
2.3,1.2904452,1.1509726,0.8316381
2.32,1.4159621,1.3008933,0.9537827
2.34,1.4390454,1.2926673,0.9337286
2.36,1.4268945,1.3438474,0.9945433
2.38,1.4413334,1.2703552,0.85008377
2.4,1.4765977,1.336606,0.8893204
2.42,1.7515519,1.6232219,1.0915997
2.44,1.7058258,1.5748212,1.09459
2.46,1.70475,1.5682257,1.045432
2.48,1.6748123,1.553217,1.1025921
2.5,1.4977227,1.3482184,1.0054586
2.52,1.4281797,1.2738997,1.0022198
2.54,1.4813827,1.3619945,1.0642372
2.56,1.5192688,1.39709,0.8449587
2.58,1.4958965,1.405096,0.8752786
2.6,1.56762,1.4644601,0.9409339
2.62,1.4535182,1.3821723,0.79786354
2.64,1.547377,1.3929117,0.93756473
2.66,1.5616131,1.4025109,0.9691033
2.68,1.6346,1.5486612,1.1412305
2.7,1.6887279,1.6225612,0.966317
2.72,1.6102742,1.5270472,1.0387347
2.74,1.7095972,1.6272818,1.301552
2.76,1.7363718,1.6675022,1.2086227
2.78,1.6214437,1.5061817,1.143962
2.8,1.8054297,1.7288458,1.1557169
2.82,1.5892316,1.5036057,1.1894472
2.84,1.6104138,1.4802946,1.1704241
2.86,1.6436007,1.5776294,1.0500659
2.88,1.6329497,1.5440029,1.0192721
2.9,1.7684234,1.6869106,1.2070651
2.92,1.7975312,1.741332,1.1310126
2.94,1.6819738,1.5452312,1.0148649
2.96,1.5524745,1.5018859,1.2017384
2.98,1.3153338,1.2721287,0.9334593
3.0,1.3948338,1.3339912,0.9745452
3.02,1.5919625,1.531003,1.0647097
3.04,1.5929736,1.5170763,1.1551017
3.06,1.4290185,1.3828683,0.949729
3.08,1.4176006,1.3286631,0.94574964
3.1,1.7275076,1.531757,1.1218303
3.12,1.5070193,1.3050923,0.9905602
3.14,1.4830754,1.2897502,1.0615537
3.16,1.4824691,1.3005973,1.0979352
3.18,1.6046369,1.4416413,1.1509134
3.2,1.5163329,1.3473821,1.1302611
3.22,1.3878633,1.2334383,1.3495784
3.24,1.361221,1.2312295,1.1263268
3.26,1.5272332,1.3634874,1.1429915
3.28,1.5173204,1.3881468,1.0822995
3.3,1.4604571,1.3227111,1.0074914
3.32,1.4411256,1.3437451,1.0353991
3.34,1.4667253,1.3319077,1.0185232
3.36,1.5714611,1.4934415,1.2283038
3.38,1.4461576,1.3121723,1.0435228
3.4,1.745856,1.5887262,1.1453708
3.42,1.624351,1.5185797,0.97961175
3.44,1.5310533,1.4183586,1.0603442
3.46,1.5722471,1.4415078,0.9615952
3.48,1.5504472,1.4029224,1.0236431
3.5,1.5629553,1.4005687,0.958778
3.52,1.6255723,1.4358128,1.0938134
3.54,1.5019418,1.2641287,0.9446398
3.56,1.5936081,1.4377265,1.1139507
3.58,1.6316192,1.402746,0.967151
3.6,1.6459912,1.5183985,1.104352
3.62,1.7134916,1.5645046,1.1755241
3.64,1.71371,1.5719379,1.1122293
3.66,1.6530964,1.4464391,1.2823462
3.68,1.495571,1.3693826,1.0071213
3.7,1.6412069,1.454854,1.1585566
3.72,1.719055,1.5769148,1.1910496
3.74,1.3861356,1.2461891,1.1341281
3.76,1.5308577,1.3647571,1.0152152
3.78,1.5878409,1.4316902,1.2479731
3.8,1.8023577,1.6025965,1.4503784
3.82,1.6175132,1.4493823,1.5492939
3.84,1.5525228,1.4328227,1.2647282
3.86,1.6456954,1.5153354,1.4189241
3.88,1.5792098,1.3930696,1.2370882
3.9,1.7393667,1.5870295,1.2586055
3.92,1.7116767,1.5693648,1.2464925
3.94,1.6431223,1.5185797,1.3390663
3.96,1.8064666,1.6836317,1.3496555
3.98,1.7549264,1.6333694,1.3452417
4.0,1.613457,1.4457928,1.325786
4.02,1.6742085,1.5533763,1.3359485
4.04,1.536132,1.4031576,1.2520583
4.06,1.4701425,1.251209,1.1478207
4.08,1.5440096,1.3635075,1.2391258
4.1,1.6335459,1.4923733,1.4245038
4.12,1.5261542,1.3271724,1.2001357
4.14,1.6175593,1.4482628,1.1388882
4.16,1.4845389,1.3350416,1.0871749
4.18,1.555631,1.3380861,1.2022865
4.2,1.6023017,1.4348359,1.3463819
4.22,1.6800581,1.5592766,1.2190863
4.24,1.7318804,1.5679452,1.365106
4.26,1.6852431,1.4710723,1.3118162
4.28,1.7692279,1.5980781,1.3225517
4.3,1.6400428,1.4826144,1.3551046
4.32,1.7817762,1.5868043,1.189141
4.34,1.8066531,1.6236792,1.2850748
4.36,1.8221109,1.6466801,1.3480164
4.38,1.7276592,1.5635906,1.2353139
4.4,1.6648334,1.4746189,1.3118691
4.42,1.6922941,1.5553927,1.411278
4.44,1.5545235,1.3875921,1.3012722
4.46,1.7401845,1.6184385,1.3759422
4.48,1.7451911,1.604568,1.1914062
4.5,1.703871,1.5588712,1.1967356
4.52,1.6819738,1.5113387,1.1681774
4.54,1.7891376,1.6453105,1.4043189
4.56,1.6602386,1.461472,1.4913673
4.58,1.6635734,1.5300149,1.3780954
4.6,1.6344166,1.5105562,1.1252103
4.62,1.6559254,1.5271912,1.3193356
4.64,1.7520223,1.594806,1.267775
4.66,1.575269,1.4267076,1.2625875
4.68,1.647401,1.5137743,1.3551238
4.7,1.6990293,1.5509675,1.317231
4.72,1.6035633,1.496035,1.3065051
4.74,1.7135571,1.6099222,1.3797114
4.76,1.7415397,1.6584425,1.4105344
4.78,1.6656654,1.4829667,1.2469654
4.8,1.7683388,1.6332854,1.3484216
4.82,1.7180309,1.5955644,1.3083487
4.84,1.7200785,1.5842725,1.3313328
4.86,1.8822155,1.7342602,1.4090155
4.88,1.6367747,1.5405625,1.3478298
4.9,1.6459229,1.5607394,1.4065952
4.92,1.676533,1.5252997,1.2386081
4.94,1.7414321,1.5892972,1.3341366
4.96,1.7455986,1.6271298,1.4047203
4.98,1.7159592,1.5692948,1.2943448
5.0,1.6141529,1.4587417,1.3055028
5.02,1.7262499,1.5846543,1.2938356
5.04,1.8927497,1.6719973,1.2348785
5.06,1.5800632,1.3717097,1.2183748
5.08,1.6351496,1.4351234,1.2512826
5.1,1.7183578,1.5937369,1.290333
5.12,1.614872,1.468416,1.2835019
5.14,1.6563774,1.5363271,1.1875213
5.16,1.7629521,1.6350183,1.2945055
