Time_ns,N_Helix,N_Sheet,N_Coil
0.0,222,0,104
0.2,227,0,99
0.4,217,0,109
0.6,212,0,114
0.8,220,0,106
1.0,221,0,105
1.2,227,0,99
1.4,217,0,109
1.6,223,0,103
1.8,220,0,106
2.0,217,0,109
2.2,224,0,102
2.4,215,0,111
2.6,221,0,105
2.8,216,0,110
3.0,221,0,105
3.2,224,0,102
3.4,218,0,108
3.6,219,0,107
3.8,219,0,107
4.0,220,2,104
4.2,225,0,101
4.4,216,0,110
4.6,222,0,104
4.8,223,0,103
5.0,230,0,96
5.2,217,0,109
5.4,224,0,102
5.6,217,0,109
5.8,225,0,101
6.0,228,0,98
6.2,225,0,101
6.4,226,0,100
6.6,221,0,105
6.8,220,0,106
7.0,230,0,96
7.2,231,0,95
7.4,229,0,97
7.6,225,2,99
7.8,234,0,92
8.0,226,0,100
8.2,230,0,96
8.4,228,0,98
8.6,228,0,98
8.8,227,0,99
9.0,213,0,113
9.2,217,0,109
9.4,215,0,111
9.6,221,0,105
9.8,221,0,105
10.0,221,0,105
10.2,218,0,108
10.4,214,0,112
10.6,219,0,107
10.8,220,0,106
11.0,215,0,111
11.2,203,0,123
11.4,217,0,109
11.6,220,0,106
11.8,212,2,112
12.0,217,0,109
12.2,230,0,96
12.4,215,0,111
12.6,223,0,103
12.8,221,0,105
13.0,226,0,100
13.2,220,0,106
13.4,225,2,99
13.6,220,0,106
13.8,219,2,105
14.0,216,0,110
14.2,220,0,106
14.4,218,0,108
14.6,227,0,99
14.8,226,0,100
15.0,221,0,105
15.2,226,0,100
15.4,235,0,91
15.6,224,0,102
15.8,212,0,114
16.0,228,0,98
16.2,229,2,95
16.4,222,0,104
16.6,227,0,99
16.8,227,2,97
17.0,221,2,103
17.2,221,0,105
17.4,229,0,97
17.6,224,0,102
17.8,221,0,105
18.0,226,0,100
18.2,214,2,110
18.4,228,0,98
18.6,221,2,103
18.8,227,0,99
19.0,227,2,97
19.2,226,0,100
19.4,219,0,107
19.6,225,0,101
19.8,220,0,106
20.0,219,0,107
20.2,218,0,108
20.4,215,0,111
20.6,226,0,100
20.8,229,0,97
21.0,224,0,102
21.2,230,0,96
21.4,223,0,103
21.6,231,0,95
21.8,228,0,98
22.0,236,0,90
22.2,220,0,106
22.4,231,0,95
22.6,224,0,102
22.8,222,0,104
23.0,222,0,104
23.2,221,0,105
23.4,224,0,102
23.6,223,0,103
23.8,221,0,105
24.0,228,0,98
24.2,228,0,98
24.4,221,0,105
24.6,225,0,101
24.8,221,0,105
25.0,224,0,102
25.2,234,0,92
25.4,224,0,102
25.6,221,0,105
25.8,226,0,100
26.0,224,0,102
26.2,219,0,107
26.4,225,0,101
26.6,239,0,87
26.8,226,0,100
27.0,223,0,103
27.2,230,0,96
27.4,224,0,102
27.6,223,0,103
27.8,220,0,106
28.0,219,2,105
28.2,225,0,101
28.4,227,0,99
28.6,218,0,108
28.8,225,0,101
29.0,227,2,97
29.2,225,0,101
29.4,222,0,104
29.6,220,0,106
29.8,221,0,105
30.0,224,0,102
30.2,225,0,101
30.4,212,0,114
30.6,212,0,114
30.8,222,2,102
31.0,214,0,112
31.2,221,0,105
31.4,217,0,109
31.6,217,2,107
31.8,215,2,109
32.0,220,0,106
32.2,218,0,108
32.4,222,2,102
32.6,225,2,99
32.8,221,0,105
33.0,225,0,101
33.2,231,2,93
33.4,224,0,102
33.6,230,0,96
33.8,229,0,97
34.0,221,2,103
34.2,226,0,100
34.4,217,0,109
34.6,219,0,107
34.8,221,0,105
35.0,220,2,104
35.2,216,0,110
35.4,223,0,103
35.6,215,2,109
35.8,226,2,98
36.0,224,0,102
36.2,217,0,109
36.4,229,0,97
36.6,219,0,107
36.8,227,0,99
37.0,224,0,102
37.2,224,0,102
37.4,224,0,102
37.6,221,0,105
37.8,215,0,111
38.0,214,0,112
38.2,215,0,111
38.4,222,0,104
38.6,225,0,101
38.8,223,0,103
39.0,224,0,102
39.2,224,0,102
39.4,217,0,109
39.6,227,0,99
39.8,227,0,99
40.0,224,0,102
40.2,216,0,110
40.4,221,0,105
40.6,222,0,104
40.8,215,0,111
41.0,218,0,108
41.2,229,0,97
41.4,233,0,93
41.6,226,0,100
41.8,221,0,105
42.0,218,0,108
42.2,220,0,106
42.4,225,0,101
42.6,226,0,100
42.8,231,0,95
43.0,232,0,94
43.2,225,0,101
43.4,227,0,99
43.6,216,0,110
43.8,222,0,104
44.0,224,0,102
44.2,221,0,105
44.4,226,0,100
44.6,220,2,104
44.8,224,0,102
45.0,219,0,107
45.2,214,0,112
45.4,216,0,110
45.6,212,0,114
45.8,222,0,104
46.0,223,0,103
46.2,223,0,103
46.4,222,0,104
46.6,221,0,105
46.8,226,0,100
47.0,230,0,96
47.2,212,0,114
47.4,228,0,98
47.6,220,0,106
47.8,222,0,104
48.0,225,0,101
48.2,220,0,106
48.4,239,0,87
48.6,222,0,104
48.8,230,0,96
49.0,221,0,105
49.2,222,0,104
49.4,226,0,100
49.6,228,0,98
49.8,232,0,94
50.0,209,0,117
50.2,229,0,97
50.4,222,0,104
50.6,225,0,101
50.8,233,0,93
51.0,224,0,102
51.2,218,0,108
51.4,231,0,95
51.6,229,0,97
51.8,216,2,108
52.0,232,0,94
52.2,227,2,97
52.4,217,2,107
52.6,223,0,103
52.8,228,0,98
53.0,223,0,103
53.2,226,0,100
53.4,225,0,101
53.6,215,0,111
53.8,219,2,105
54.0,220,0,106
54.2,232,0,94
54.4,224,0,102
54.6,218,0,108
54.8,220,0,106
55.0,225,0,101
55.2,232,0,94
55.4,220,2,104
55.6,228,0,98
55.8,217,0,109
56.0,223,0,103
56.2,215,0,111
56.4,218,0,108
56.6,220,0,106
56.8,222,0,104
57.0,223,0,103
57.2,215,0,111
57.4,220,0,106
57.6,213,0,113
57.8,212,0,114
58.0,216,0,110
58.2,219,0,107
58.4,220,0,106
58.6,219,0,107
58.8,214,0,112
59.0,223,2,101
59.2,225,0,101
59.4,221,0,105
59.6,225,0,101
59.8,223,2,101
60.0,213,0,113
60.2,224,0,102
60.4,224,0,102
60.6,214,0,112
60.8,219,0,107
61.0,212,0,114
61.2,226,0,100
61.4,226,0,100
61.6,222,2,102
61.8,229,0,97
62.0,232,2,92
62.2,220,0,106
62.4,233,0,93
62.6,227,0,99
62.8,223,0,103
63.0,226,0,100
63.2,227,0,99
63.4,220,0,106
63.6,226,0,100
63.8,227,2,97
64.0,214,0,112
64.2,225,0,101
64.4,216,0,110
64.6,216,0,110
64.8,223,0,103
65.0,217,0,109
65.2,225,0,101
65.4,226,0,100
65.6,225,2,99
65.8,226,0,100
66.0,229,0,97
66.2,227,0,99
66.4,214,0,112
66.6,225,2,99
66.8,221,0,105
67.0,215,0,111
67.2,220,2,104
67.4,224,0,102
67.6,218,0,108
67.8,228,0,98
68.0,220,0,106
