Time_ns,RMSD_Protein_A,RMSD_Ligand_A,Rg_A,Hbonds,SASA_A2
0.0,0.0,0.0,25.587828496628532,0.0,21166.59765625
0.02,0.85438895,0.61818165,25.71845426659251,0.0,21170.1517578125
0.04,1.0437108,0.5845284,25.536689792527667,0.0,21173.705859375
0.06,1.064009,0.6441199,25.530709981864742,0.0,21177.2599609375
0.08,1.0489883,0.7419097,25.567208735170116,0.0,21180.8140625
0.1,1.0166833,0.5006028,25.536535239895905,0.0,21184.3681640625
0.12,1.0268099,0.76348054,25.42860027266927,0.0,21187.922265625
0.14,0.9800014,0.6336577,25.43799712706822,0.0,21191.4763671875
0.16,0.9850303,0.43577725,25.470126914533008,0.0,21195.03046875
0.18,1.0704904,0.6340494,25.471939955867033,0.0,21198.5845703125
0.2,1.3374367,0.6409681,25.477830103619223,0.0,21202.138671875
0.22,1.3358277,0.46977812,25.4501503905638,0.4,21235.4107421875
0.24,1.2854444,0.6063229,25.451658751392856,0.8,21268.6828125
0.26,1.0893832,0.95190614,25.401756085671177,1.2000000000000002,21301.9548828125
0.28,0.9479821,0.7606095,25.49565315299442,1.6,21335.226953125
0.3,1.0549561,0.93108284,25.523569354408902,2.0,21368.4990234375
0.32,0.9830218,0.48918232,25.37478983983561,1.8,21401.77109375
0.34,1.1221857,1.276864,25.53867076673812,1.6,21435.0431640625
0.36,1.0516449,1.5314312,25.57605284103864,1.4,21468.315234375
0.38,1.0537984,1.5076439,25.521485809292873,1.2,21501.5873046875
0.4,1.1754657,1.5979288,25.753118205787338,1.0,21534.859375
0.42,1.0537984,1.542165,25.577087180900993,1.2,21525.4216796875
0.44,1.1166813,1.6084934,25.5309176152172,1.4,21515.983984375
0.46,1.0542947,1.6158988,25.62436286165213,1.6,21506.5462890625
0.48,1.1239455,1.6469489,25.56632242792687,1.8,21497.10859375
0.5,1.0551214,1.5437357,25.684159420757652,2.0,21487.6708984375
0.52,1.0620403,1.6353061,25.63431828677626,2.0,21478.233203125
0.54,1.0484341,1.624188,25.487918147763324,2.0,21468.7955078125
0.56,1.2313055,1.6707968,25.640628786399738,2.0,21459.3578125
0.58,1.1331652,1.7740029,25.563397413402843,2.0,21449.9201171875
0.6,1.1669291,1.4896001,25.531042109393756,2.0,21440.482421875
0.62,1.0863376,1.7552168,25.599598974243484,1.8,21437.8208984375
0.64,1.0914091,1.5480965,25.783140837006954,1.6,21435.159375
0.66,1.0295237,1.552691,25.633643638928042,1.4,21432.4978515625
0.68,1.1768001,1.7715988,25.58416884141598,1.2,21429.836328125
0.7,1.2619407,1.563332,25.48582673542835,1.0,21427.1748046875
0.72,1.3295467,1.5737805,25.4820175985974,0.8,21424.51328125
0.74,1.1307002,1.8268253,25.526049542106666,0.6,21421.8517578125
0.76,1.1169937,1.4094936,25.57946933878362,0.3999999999999999,21419.190234375
0.78,1.232721,1.2192432,25.549305805823124,0.19999999999999996,21416.5287109375
0.8,1.3192763,1.4282186,25.547883773659166,0.0,21413.8671875
0.82,1.3540664,1.5530206,25.672086097438694,0.0,21437.1826171875
0.84,1.3817728,1.4226271,25.785467228703926,0.0,21460.498046875
0.86,1.4061673,1.5215887,25.855900540055217,0.0,21483.8134765625
0.88,1.442167,1.6419059,25.725252005596563,0.0,21507.12890625
0.9,1.6403593,1.5827305,25.676140900120167,0.0,21530.4443359375
0.92,1.2003243,1.9016577,25.705653904697904,0.0,21553.759765625
0.94,1.2820936,1.6739123,25.872212193090547,0.0,21577.0751953125
0.96,1.4143698,1.7781674,25.95806809207412,0.0,21600.390625
0.98,1.3219173,1.6817611,25.68124984335902,0.0,21623.7060546875
1.0,1.4174078,1.8233843,25.662208496312733,0.0,21647.021484375
1.02,1.5074375,1.8200507,25.712037973031713,0.0,21630.5974609375
1.04,1.3095027,1.6712105,25.76388653590531,0.0,21614.1734375
1.06,1.2942772,1.828581,25.839660041242553,0.0,21597.7494140625
1.08,1.4706248,1.760288,26.04405411834039,0.0,21581.325390625
1.1,1.2661254,1.7534142,25.953581768776587,0.0,21564.9013671875
1.12,1.3394345,1.7586715,25.927013033236243,0.0,21548.47734375
1.14,1.5920203,1.7549474,25.95502820436666,0.0,21532.0533203125
1.16,1.7425637,1.7637695,25.59264500075151,0.0,21515.629296875
1.18,1.6173412,1.7880328,25.67537239982432,0.0,21499.2052734375
1.2,1.4648424,1.8081414,25.533759651929174,0.0,21482.78125
1.22,1.4812977,1.7111462,25.697500103705412,0.0,21541.6521484375
1.24,1.5000544,1.8430067,25.869344951576974,0.0,21600.523046875
1.26,1.4846295,1.6564012,25.704239193366472,0.0,21659.3939453125
1.28,1.5425061,1.6283834,25.680235981053755,0.0,21718.26484375
1.3,1.3535082,1.6147485,25.588725503449105,0.0,21777.1357421875
1.32,1.4987361,1.7698277,25.584222498284102,0.0,21836.006640625
1.34,1.5576563,1.7053598,25.718524046370117,0.0,21894.8775390625
1.36,1.3577962,1.7724605,25.747641796314802,0.0,21953.7484375
1.38,1.3323855,1.863307,25.571455823442907,0.0,22012.6193359375
1.4,1.3670121,1.7889565,25.683247063499962,0.0,22071.490234375
1.42,1.3090587,1.8617461,25.756649695948823,0.0,22061.2806640625
1.44,1.299253,1.8407986,25.607695080906797,0.0,22051.07109375
1.46,1.3706641,1.9289607,25.600864471867958,0.0,22040.8615234375
1.48,1.2772787,1.790241,25.561795722095944,0.0,22030.651953125
1.5,1.2118433,1.8641498,25.53213998024759,0.0,22020.4423828125
