compound,type,total_atoms,polar_h_found,polar_h_expected,status
264THM,drug-like,22,3,3,PASS
Apigenin,drug-like,23,3,3,PASS
Caffeic_acid,drug-like,16,3,3,PASS
Gallic_acid,drug-like,16,4,4,PASS
Kaempferol,drug-like,25,4,4,PASS
Lariciresinol,drug-like,42,4,3,PASS
Luteolin,drug-like,25,4,4,PASS
Matairesinol,drug-like,28,2,2,PASS
Naringeninchalcone,drug-like,24,4,4,PASS
Phalerin,drug-like,22,0,0,PASS
Pinoresinol,drug-like,28,2,2,PASS
Quercetin,drug-like,27,5,5,PASS
Swertianin,drug-like,29,2,2,PASS
Atorvastatin,control,45,4,4,PASS
Losartan,control,32,2,2,PASS
Pioglitazone,control,26,1,1,PASS
Sildenafil,control,34,1,1,PASS
