source,target,weight
SERPINE1,CYP27B1,0.154
SERPINE1,ADORA2B,0.196
SERPINE1,PDE5A,0.201
SERPINE1,SLC5A2,0.33
SERPINE1,RELA,0.338
SERPINE1,HMGCR,0.396
SERPINE1,KDR,0.453
SERPINE1,AXL,0.609
SERPINE1,PPARG,0.732
SERPINE1,AGTR1,0.953
CYP27B1,SLC5A2,0.159
CYP27B1,HMGCR,0.263
CYP27B1,RELA,0.373
CYP27B1,PPARG,0.499
ADORA2B,KDR,0.153
ADORA2B,PPARG,0.276
ADORA2B,PDE5A,0.226
ADORA2B,AGTR1,0.227
ADORA2B,ADORA2A,0.937
PDE5A,KDR,0.291
PDE5A,PPARG,0.347
PDE5A,HMGCR,0.263
PDE5A,SLC5A2,0.22
PDE5A,PDE4D,0.349
PDE5A,AGTR1,0.293
PDE5A,ADORA2A,0.298
PDE5A,RELA,0.496
SLC5A2,PPARG,0.546
SLC5A2,HMGCR,0.275
SLC5A2,AGTR1,0.386
RELA,KDR,0.248
RELA,PPARG,0.998
RELA,HMGCR,0.172
RELA,AXL,0.239
RELA,AGTR1,0.167
RELA,ADORA2A,0.172
HMGCR,KDR,0.324
HMGCR,PPARG,0.661
HMGCR,ADORA2A,0.152
HMGCR,AXL,0.175
HMGCR,AGTR1,0.342
KDR,ADORA2A,0.323
KDR,AGTR1,0.587
KDR,AXL,0.641
KDR,PPARG,0.644
AXL,PPARG,0.341
PPARG,PDE4D,0.165
PPARG,ADORA2A,0.352
PPARG,AGTR1,0.583
AGTR1,PDE4D,0.153
AGTR1,ADORA2A,0.172
ADORA2A,PDE4D,0.2
