Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular defense response (GO:0006968),3/49,3.8846096251686965e-06,0.0017978170988322,0,0,130.05,1620.2263724338954,ADORA2A;ADORA2B;RELA
GO_Biological_Process_2021,regulation of inflammatory response (GO:0050727),4/206,7.267009492106051e-06,0.0017978170988322,0,0,43.53135313531353,515.0701834482263,SERPINE1;AGTR1;PPARG;RELA
GO_Biological_Process_2021,cellular response to angiotensin (GO:1904385),2/8,1.0895861205044152e-05,0.0017978170988322,0,0,605.4848484848485,6918.952591288204,AGTR1;RELA
GO_Biological_Process_2021,negative regulation of pri-miRNA transcription by RNA polymerase II (GO:1902894),2/14,3.533413970382075e-05,0.0043725997883478,0,0,302.6515151515151,3102.378062063868,PPARG;RELA
GO_Biological_Process_2021,cellular response to molecule of bacterial origin (GO:0071219),3/115,5.078554905808544e-05,0.0047567216530901,0,0,53.236607142857146,526.3981791569903,AXL;SERPINE1;RELA
GO_Biological_Process_2021,cellular response to lipopolysaccharide (GO:0071222),3/120,5.765723215866797e-05,0.0047567216530901,0,0,50.94871794871795,497.310174515441,AXL;SERPINE1;RELA
GO_Biological_Process_2021,mononuclear cell differentiation (GO:1903131),2/26,0.00012564069753470206,0.0074603260751646,0,0,151.2348484848485,1358.404162946047,AXL;PPARG
GO_Biological_Process_2021,response to lipopolysaccharide (GO:0032496),3/159,0.0001329946535168537,0.0074603260751646,0,0,38.136538461538464,340.37629522696926,AXL;SERPINE1;RELA
GO_Biological_Process_2021,negative regulation of endothelial cell apoptotic process (GO:2000352),2/27,0.00013564229227572053,0.0074603260751646,0,0,145.17818181818183,1292.8827507488604,SERPINE1;KDR
GO_Biological_Process_2021,regulation of macrophage derived foam cell differentiation (GO:0010743),2/31,0.00017943408999380463,0.0088819874546933,0,0,125.12852664576802,1079.32145813929,AGTR1;PPARG
GO_Biological_Process_2021,positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895),2/34,0.00021624086857684936,0.008919935828795,0,0,113.3806818181818,956.8329118851916,PPARG;RELA
GO_Biological_Process_2021,cellular response to vascular endothelial growth factor stimulus (GO:0035924),2/34,0.00021624086857684936,0.008919935828795,0,0,113.3806818181818,956.8329118851916,KDR;RELA
GO_Biological_Process_2021,negative regulation of epithelial cell apoptotic process (GO:1904036),2/37,0.0002564318706642084,0.0096653264341594,0,0,103.64675324675324,857.0184712710449,SERPINE1;KDR
GO_Biological_Process_2021,regulation of angiogenesis (GO:0045765),3/203,0.00027336276783481404,0.0096653264341594,0,0,29.6805,243.51991964056356,SERPINE1;KDR;PPARG
GO_Biological_Process_2021,negative regulation of inflammatory response (GO:0050728),3/212,0.00031050122822725554,0.0102465405314994,0,0,28.389473684210525,229.31094025764477,ADORA2A;ADORA2B;PPARG
GO_Biological_Process_2021,cellular response to lipid (GO:0071396),3/219,0.0003415406720594045,0.0102715141590579,0,0,27.459722222222226,219.18470517790172,AXL;SERPINE1;RELA
GO_Biological_Process_2021,regulation of endothelial cell apoptotic process (GO:2000351),2/44,0.0003633083772215516,0.0102715141590579,0,0,86.34199134199135,683.8508960409997,SERPINE1;KDR
GO_Biological_Process_2021,regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893),2/45,0.00038006719503308906,0.0102715141590579,0,0,84.32980972515857,664.1109544917254,PPARG;RELA
GO_Biological_Process_2021,inflammatory response (GO:0006954),3/230,0.0003942601394385863,0.0102715141590579,0,0,26.11453744493392,204.69879168594693,ADORA2A;AGTR1;RELA
GO_Biological_Process_2021,positive regulation of endocytosis (GO:0045807),2/48,0.0004325706228682951,0.0107061229159903,0,0,78.81818181818181,610.5071105483304,AXL;SERPINE1
GO_Biological_Process_2021,blood circulation (GO:0008015),2/51,0.0004884058068615739,0.0115124225903085,0,0,73.98144712430427,564.0614766653882,ADORA2A;AGTR1
GO_Biological_Process_2021,positive regulation of cell differentiation (GO:0045597),3/258,0.0005514434310396165,0.0122246953015732,0,0,23.214117647058824,174.17485840133853,AGTR1;KDR;PPARG
GO_Biological_Process_2021,regulation of blood vessel endothelial cell migration (GO:0043535),2/55,0.0005680161453256235,0.0122246953015732,0,0,68.38421955403088,511.05993992585104,KDR;PPARG
GO_Biological_Process_2021,positive regulation of interleukin-8 production (GO:0032757),2/61,0.0006984425205828328,0.0144053769870209,0,0,61.41140215716487,446.255636660759,SERPINE1;RELA
GO_Biological_Process_2021,vascular endothelial growth factor receptor signaling pathway (GO:0048010),2/67,0.0008420030301160658,0.0166716599962981,0,0,55.72587412587413,394.5239725835074,AXL;KDR
GO_Biological_Process_2021,cellular response to oxygen-containing compound (GO:1901701),3/323,0.0010583763125406,0.0196013438479563,0,0,18.4378125,126.31780976400088,AXL;SERPINE1;RELA
GO_Biological_Process_2021,positive regulation of endothelial cell proliferation (GO:0001938),2/77,0.0011102175865311,0.0196013438479563,0,0,48.27151515151515,328.4007361079594,AGTR1;KDR
GO_Biological_Process_2021,regulation of cell population proliferation (GO:0042127),4/764,0.0011460486560466,0.0196013438479563,0,0,11.243859649122808,76.13706706036419,VDR;AGTR1;KDR;RELA
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),3/335,0.0011758403437281,0.0196013438479563,0,0,17.7605421686747,119.80857163361529,PDE4D;SERPINE1;RELA
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway (GO:2001237),2/80,0.0011976875256538,0.0196013438479563,0,0,46.40792540792541,312.20294374307474,SERPINE1;RELA
GO_Biological_Process_2021,regulation of interleukin-8 production (GO:0032677),2/81,0.0012275589076497,0.0196013438479563,0,0,45.81818181818182,307.10679687201895,SERPINE1;RELA
GO_Biological_Process_2021,regulation of defense response (GO:0031347),2/83,0.0012883713493548,0.0199294943103335,0,0,44.682379349046016,297.3333696592994,AGTR1;RELA
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649),2/86,0.0013822581525501,0.0205900148408305,0,0,43.08008658008658,283.64087430205655,AXL;PDE4D
GO_Biological_Process_2021,negative regulation of angiogenesis (GO:0016525),2/87,0.0014142636456328,0.0205900148408305,0,0,42.571122994652406,279.3153650638971,SERPINE1;PPARG
GO_Biological_Process_2021,positive regulation of inflammatory response (GO:0050729),2/89,0.0014793370551065,0.0209220526365072,0,0,41.58829676071056,270.9960468615092,SERPINE1;AGTR1
GO_Biological_Process_2021,regulation of lipid metabolic process (GO:0019216),2/92,0.0015795972014162,0.0217194615194735,0,0,40.19595959595959,259.28747011903386,PPARG;HMGCR
GO_Biological_Process_2021,regulation of kinase activity (GO:0043549),2/94,0.0016481993073699,0.0217443687009755,0,0,39.31818181818182,251.9537366921336,AXL;KDR
GO_Biological_Process_2021,negative regulation of programmed cell death (GO:0043069),3/381,0.0017018822401381,0.0217443687009755,0,0,15.562698412698412,99.22808318609744,AXL;KDR;RELA
GO_Biological_Process_2021,positive regulation of defense response (GO:0031349),2/98,0.0017896179273712,0.0217443687009755,0,0,37.67234848484848,238.3059763541143,SERPINE1;AGTR1
GO_Biological_Process_2021,epithelial cell differentiation (GO:0030855),2/101,0.0018993569194187,0.0217443687009755,0,0,36.525252525252526,228.8759952267877,KDR;PPARG
GO_Biological_Process_2021,calcium-mediated signaling (GO:0019722),2/102,0.0019366344625824,0.0217443687009755,0,0,36.158181818181816,225.8730612747385,AGTR1;KDR
GO_Biological_Process_2021,positive regulation of vasculature development (GO:1904018),2/102,0.0019366344625824,0.0217443687009755,0,0,36.158181818181816,225.8730612747385,SERPINE1;KDR
GO_Biological_Process_2021,positive regulation of cellular metabolic process (GO:0031325),2/105,0.00205055515983,0.0217443687009755,0,0,35.09973521624007,217.25489050261535,AGTR1;PPARG
GO_Biological_Process_2021,cellular response to peptide hormone stimulus (GO:0071375),2/106,0.0020892234242243,0.0217443687009755,0,0,34.76048951048951,214.5056893965526,PPARG;RELA
GO_Biological_Process_2021,positive regulation of transcription by RNA polymerase II (GO:0045944),4/908,0.0021712168123318,0.0217443687009755,0,0,9.382005899705014,57.53484650471578,VDR;SERPINE1;PPARG;RELA
GO_Biological_Process_2021,positive regulation of kinase activity (GO:0033674),2/114,0.0024110170617407,0.0217443687009755,0,0,32.26461038961039,194.48160509461505,AXL;KDR
GO_Biological_Process_2021,positive regulation of angiogenesis (GO:0045766),2/116,0.0024949086271464,0.0217443687009755,0,0,31.69537480063796,189.96632943183283,SERPINE1;KDR
GO_Biological_Process_2021,negative regulation of response to external stimulus (GO:0032102),2/118,0.0025801711477185,0.0217443687009755,0,0,31.145768025078368,185.62564871011088,SERPINE1;PPARG
GO_Biological_Process_2021,nervous system development (GO:0007399),3/447,0.0026839239935999,0.0217443687009755,0,0,13.20472972972973,78.17827724599222,ADORA2A;AXL;HMGCR
GO_Biological_Process_2021,epithelium development (GO:0060429),2/122,0.0027547964807649,0.0217443687009755,0,0,30.10151515151515,177.43072345161224,KDR;PPARG
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),3/464,0.002983470870544,0.0217443687009755,0,0,12.706724511930586,73.88538357290963,VDR;PPARG;RELA
GO_Biological_Process_2021,regulation of response to external stimulus (GO:0032101),2/130,0.0031203605523396,0.0217443687009755,0,0,28.208806818181817,162.7593632045085,AGTR1;RELA
GO_Biological_Process_2021,regulation of primary metabolic process (GO:0080090),2/130,0.0031203605523396,0.0217443687009755,0,0,28.208806818181817,162.7593632045085,PPARG;HMGCR
GO_Biological_Process_2021,glucose import across plasma membrane (GO:0098708),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,SLC5A2
GO_Biological_Process_2021,negative regulation of gene silencing by RNA (GO:0060967),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,PPARG
GO_Biological_Process_2021,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway (GO:0038033),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,KDR
GO_Biological_Process_2021,positive regulation of low-density lipoprotein receptor activity (GO:1905599),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,PPARG
GO_Biological_Process_2021,negative regulation of plasminogen activation (GO:0010757),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,SERPINE1
GO_Biological_Process_2021,negative regulation of posttranscriptional gene silencing (GO:0060149),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,PPARG
GO_Biological_Process_2021,positive regulation of mitochondrial depolarization (GO:0051901),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,KDR
GO_Biological_Process_2021,cellular response to nicotine (GO:0071316),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,RELA
GO_Biological_Process_2021,positive regulation of phospholipase A2 activity (GO:0032430),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,AGTR1
GO_Biological_Process_2021,cellular response to vitamin D (GO:0071305),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,VDR
GO_Biological_Process_2021,negative regulation of vascular endothelial cell proliferation (GO:1905563),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,PPARG
GO_Biological_Process_2021,regulation of miRNA metabolic process (GO:2000628),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,RELA
GO_Biological_Process_2021,positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,PPARG
GO_Biological_Process_2021,regulation of natural killer cell differentiation (GO:0032823),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,AXL
GO_Biological_Process_2021,vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324),1/5,0.0032460508750897,0.0217443687009755,0,0,416.3125,2385.6022367218384,KDR
GO_Biological_Process_2021,negative regulation of apoptotic process (GO:0043066),3/485,0.0033812049211406,0.0217443687009755,0,0,12.140041493775934,69.07104709006656,AXL;KDR;RELA
GO_Biological_Process_2021,negative regulation of inflammatory response to antigenic stimulus (GO:0002862),2/136,0.0034087094844819,0.0217443687009755,0,0,26.93758480325645,153.04377371831652,ADORA2A;ADORA2B
GO_Biological_Process_2021,regulation of inflammatory response to antigenic stimulus (GO:0002861),2/137,0.0034579421578374,0.0217443687009755,0,0,26.736700336700338,151.51906302862704,ADORA2A;ADORA2B
GO_Biological_Process_2021,positive regulation of response to external stimulus (GO:0032103),2/139,0.0035574107457003,0.0217443687009755,0,0,26.343729263437293,148.5449741203973,SERPINE1;AGTR1
GO_Biological_Process_2021,transcription initiation from RNA polymerase II promoter (GO:0006367),2/140,0.0036076458861899,0.0217443687009755,0,0,26.151515151515152,147.09442278621572,VDR;PPARG
GO_Biological_Process_2021,enzyme linked receptor protein signaling pathway (GO:0007167),2/140,0.0036076458861899,0.0217443687009755,0,0,26.151515151515152,147.09442278621572,AXL;KDR
GO_Biological_Process_2021,regulation of relaxation of cardiac muscle (GO:1901897),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PDE4D
GO_Biological_Process_2021,foam cell differentiation (GO:0090077),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Biological_Process_2021,response to angiotensin (GO:1990776),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,RELA
GO_Biological_Process_2021,positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PDE4D
GO_Biological_Process_2021,hexose import across plasma membrane (GO:0140271),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,SLC5A2
GO_Biological_Process_2021,response to lipoteichoic acid (GO:0070391),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,RELA
GO_Biological_Process_2021,response to peptidoglycan (GO:0032494),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,RELA
GO_Biological_Process_2021,negative regulation of relaxation of muscle (GO:1901078),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PDE4D
GO_Biological_Process_2021,negative regulation of sequestering of triglyceride (GO:0010891),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Biological_Process_2021,cellular response to lipoteichoic acid (GO:0071223),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,RELA
GO_Biological_Process_2021,macrophage derived foam cell differentiation (GO:0010742),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Biological_Process_2021,peroxisome proliferator activated receptor signaling pathway (GO:0035357),1/6,0.0038940964853966,0.0217443687009755,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Biological_Process_2021,positive regulation of transferase activity (GO:0051347),2/148,0.0040214963875064,0.0217443687009755,0,0,24.70859277708593,136.2950985129956,AXL;KDR
GO_Biological_Process_2021,regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,AGTR1
GO_Biological_Process_2021,angiotensin-activated signaling pathway (GO:0038166),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,AGTR1
GO_Biological_Process_2021,negative regulation of dendritic cell apoptotic process (GO:2000669),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,AXL
GO_Biological_Process_2021,regulation of vascular associated smooth muscle cell apoptotic process (GO:1905459),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,PPARG
GO_Biological_Process_2021,regulation of calcidiol 1-monooxygenase activity (GO:0060558),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,VDR
GO_Biological_Process_2021,negative regulation of interferon-gamma-mediated signaling pathway (GO:0060336),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,PPARG
GO_Biological_Process_2021,positive regulation of interleukin-5 production (GO:0032754),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,PDE4D
GO_Biological_Process_2021,positive regulation of membrane depolarization (GO:1904181),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,KDR
GO_Biological_Process_2021,positive regulation of miRNA metabolic process (GO:2000630),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,RELA
GO_Biological_Process_2021,negative regulation of response to interferon-gamma (GO:0060331),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,PPARG
GO_Biological_Process_2021,positive regulation of pinocytosis (GO:0048549),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,AXL
GO_Biological_Process_2021,nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070431),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,RELA
GO_Biological_Process_2021,regulation of NAD(P)H oxidase activity (GO:0033860),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,AGTR1
GO_Biological_Process_2021,vascular wound healing (GO:0061042),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,KDR
GO_Biological_Process_2021,white fat cell differentiation (GO:0050872),1/7,0.0045417536091676,0.0217443687009755,0,0,277.5138888888889,1497.032601111507,PPARG
GO_Biological_Process_2021,cellular response to growth factor stimulus (GO:0071363),2/158,0.0045685138280837,0.0217443687009755,0,0,23.11305361305361,124.54624556574124,KDR;RELA
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),2/158,0.0045685138280837,0.0217443687009755,0,0,23.11305361305361,124.54624556574124,PDE4D;RELA
GO_Biological_Process_2021,positive regulation of intracellular signal transduction (GO:1902533),3/546,0.004717556392746,0.0221428110159692,0,0,10.742541436464087,57.54203998408254,AXL;KDR;RELA
GO_Biological_Process_2021,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),3/547,0.0047417799067032,0.0221428110159692,0,0,10.722242647058824,57.37839498148519,VDR;PPARG;RELA
GO_Biological_Process_2021,"DNA-templated transcription, initiation (GO:0006352)",2/168,0.0051481792506046,0.0221428110159692,0,0,21.709748083242054,114.3910978415047,VDR;PPARG
GO_Biological_Process_2021,positive regulation of cell migration by vascular endothelial growth factor signaling pathway (GO:0038089),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,KDR
GO_Biological_Process_2021,regulation of vascular wound healing (GO:0061043),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,SERPINE1
GO_Biological_Process_2021,negative regulation of keratinocyte proliferation (GO:0010839),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,VDR
GO_Biological_Process_2021,isoprenoid metabolic process (GO:0006720),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,HMGCR
GO_Biological_Process_2021,cellular response to interferon-alpha (GO:0035457),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,AXL
GO_Biological_Process_2021,regulation of phospholipase A2 activity (GO:0032429),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,AGTR1
GO_Biological_Process_2021,regulation of positive chemotaxis (GO:0050926),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,KDR
GO_Biological_Process_2021,natural killer cell differentiation (GO:0001779),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,AXL
GO_Biological_Process_2021,negative regulation of amyloid-beta clearance (GO:1900222),1/8,0.0051890223794998,0.0221428110159692,0,0,237.8571428571429,1251.416370420653,HMGCR
GO_Biological_Process_2021,"positive regulation of transcription, DNA-templated (GO:0045893)",4/1183,0.0056596447117339,0.0231101756849662,0,0,7.0900009424182455,36.68645947449997,VDR;SERPINE1;PPARG;RELA
GO_Biological_Process_2021,negative regulation of immune response (GO:0050777),2/178,0.0057601131370258,0.0231101756849662,0,0,20.46590909090909,105.53856239639866,ADORA2A;ADORA2B
GO_Biological_Process_2021,positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:1903589),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,AGTR1
GO_Biological_Process_2021,positive regulation of cholesterol esterification (GO:0010873),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,AGTR1
GO_Biological_Process_2021,negative regulation of fibrinolysis (GO:0051918),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,SERPINE1
GO_Biological_Process_2021,regulation of DNA-templated transcription in response to stress (GO:0043620),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,RELA
GO_Biological_Process_2021,isoprenoid biosynthetic process (GO:0008299),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,HMGCR
GO_Biological_Process_2021,positive regulation of smooth muscle cell apoptotic process (GO:0034393),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,PPARG
GO_Biological_Process_2021,regulation of pinocytosis (GO:0048548),1/9,0.005835902950749,0.0231101756849662,0,0,208.11458333333331,1070.4844511001115,AXL
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),2/185,0.0062074648045661,0.0235940130041055,0,0,19.67610531544958,99.9940205436682,PDE4D;RELA
