Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2021,integral component of plasma membrane (GO:0005887),5/1454,0.0015830250541433,0.0348265511911544,0,0,7.996031746031746,51.56175241064328,ADORA2A;ADORA2B;AXL;AGTR1;KDR
GO_Cellular_Component_2021,sorting endosome (GO:0097443),1/5,0.0032460508750897,0.0357065596259876,0,0,416.3125,2385.6022367218384,KDR
GO_Cellular_Component_2021,voltage-gated calcium channel complex (GO:0005891),1/31,0.0199694502608653,0.1243636126290926,0,0,55.43611111111111,216.95208467294643,PDE4D
GO_Cellular_Component_2021,calcium channel complex (GO:0034704),1/45,0.0288667255850808,0.1243636126290926,0,0,37.770833333333336,133.90008612704145,PDE4D
GO_Cellular_Component_2021,microbody membrane (GO:0031903),1/52,0.0332873496068505,0.1243636126290926,0,0,32.57516339869281,110.83952930563026,HMGCR
GO_Cellular_Component_2021,peroxisomal membrane (GO:0005778),1/53,0.0339173488988434,0.1243636126290926,0,0,31.947115384615383,108.10356363888964,HMGCR
GO_Cellular_Component_2021,platelet alpha granule lumen (GO:0031093),1/67,0.0426976406866875,0.12770456975672,0,0,25.15277777777778,79.3220921121178,SERPINE1
GO_Cellular_Component_2021,cation channel complex (GO:0034703),1/73,0.04643802536608,0.12770456975672,0,0,23.04976851851852,70.7544140609547,PDE4D
GO_Cellular_Component_2021,platelet alpha granule (GO:0031091),1/90,0.0569626505406045,0.139242034654811,0,0,18.631086142322097,53.384759293029546,SERPINE1
GO_Cellular_Component_2021,peroxisome (GO:0005777),1/128,0.0801017334683338,0.1762238136303344,0,0,13.031496062992126,32.897461671293605,HMGCR
GO_Cellular_Component_2021,membrane raft (GO:0045121),1/163,0.1009492626948692,0.2018985253897384,0,0,10.198045267489713,23.385517356838168,KDR
GO_Cellular_Component_2021,early endosome (GO:0005769),1/266,0.1597973909223194,0.2929618833575855,0,0,6.201886792452831,11.373321243798689,KDR
GO_Cellular_Component_2021,secretory granule lumen (GO:0034774),1/316,0.1870633453054331,0.2939566854799664,0,0,5.204232804232804,8.723896951097213,SERPINE1
GO_Cellular_Component_2021,actin cytoskeleton (GO:0015629),1/316,0.1870633453054331,0.2939566854799664,0,0,5.204232804232804,8.723896951097213,AXL
GO_Cellular_Component_2021,collagen-containing extracellular matrix (GO:0062023),1/380,0.2207720494095188,0.3172632172524156,0,0,4.311345646437995,6.51282462193165,SERPINE1
GO_Cellular_Component_2021,intracellular membrane-bounded organelle (GO:0043231),5/5192,0.2307368852744841,0.3172632172524156,0,0,1.7833044148833623,2.615175340747583,VDR;AXL;PDE4D;PPARG;RELA
GO_Cellular_Component_2021,cytoskeleton (GO:0005856),1/600,0.3270535979988438,0.4030720926010299,0,0,2.6972732331663885,3.0145567560856428,AXL
GO_Cellular_Component_2021,nucleus (GO:0005634),4/4484,0.3297862575826608,0.4030720926010299,0,0,1.5383928571428571,1.7065554090395685,VDR;PDE4D;PPARG;RELA
GO_Cellular_Component_2021,endoplasmic reticulum membrane (GO:0005789),1/712,0.3758607992402265,0.4081580156939705,0,0,2.259259259259259,2.210767464979351,HMGCR
GO_Cellular_Component_2021,nucleolus (GO:0005730),1/733,0.3846400095347451,0.4081580156939705,0,0,2.192053734061931,2.094392089723185,RELA
GO_Cellular_Component_2021,nuclear lumen (GO:0031981),1/745,0.3896053786169718,0.4081580156939705,0,0,2.15535394265233,2.031681677172877,RELA
GO_Cellular_Component_2021,intracellular non-membrane-bounded organelle (GO:0043232),1/1158,0.5395764155500307,0.5395764155500307,0,0,1.3562373955632383,0.836758956220056,RELA
