Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Molecular_Function_2021,retinoid X receptor binding (GO:0046965),2/11,2.137920088451626e-05,0.0011423288092272,0,0,403.5959595959596,4339.904496407951,VDR;PPARG
GO_Molecular_Function_2021,retinoic acid receptor binding (GO:0042974),2/18,5.932115701720912e-05,0.0011423288092272,0,0,226.9431818181818,2208.734624235031,VDR;PPARG
GO_Molecular_Function_2021,"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",2/21,8.133190135805304e-05,0.0011423288092272,0,0,191.08133971291863,1799.4076693173631,PDE4D;PDE5A
GO_Molecular_Function_2021,actinin binding (GO:0042805),2/21,8.133190135805304e-05,0.0011423288092272,0,0,191.08133971291863,1799.4076693173631,PPARG;RELA
GO_Molecular_Function_2021,cyclic nucleotide binding (GO:0030551),2/23,9.791389793376443e-05,0.0011423288092272,0,0,172.86580086580088,1595.7971671855132,PDE4D;PDE5A
GO_Molecular_Function_2021,cyclic-nucleotide phosphodiesterase activity (GO:0004112),2/23,9.791389793376443e-05,0.0011423288092272,0,0,172.86580086580088,1595.7971671855132,PDE4D;PDE5A
GO_Molecular_Function_2021,transmembrane receptor protein kinase activity (GO:0019199),2/60,0.0006757903053544242,0.0059131651718512,0,0,62.47335423197492,456.0322288892873,AXL;KDR
GO_Molecular_Function_2021,transmembrane receptor protein tyrosine kinase activity (GO:0004714),2/60,0.0006757903053544242,0.0059131651718512,0,0,62.47335423197492,456.0322288892873,AXL;KDR
GO_Molecular_Function_2021,protein tyrosine kinase activity (GO:0004713),2/108,0.0021675996212726,0.0168591081654539,0,0,34.101200686106345,209.18136488524144,AXL;KDR
GO_Molecular_Function_2021,beta-2 adrenergic receptor binding (GO:0031698),1/5,0.0032460508750897,0.0187013383906902,0,0,416.3125,2385.6022367218384,PDE4D
GO_Molecular_Function_2021,arachidonic acid binding (GO:0050544),1/6,0.0038940964853966,0.0187013383906902,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Molecular_Function_2021,icosatetraenoic acid binding (GO:0050543),1/6,0.0038940964853966,0.0187013383906902,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Molecular_Function_2021,LBD domain binding (GO:0050693),1/6,0.0038940964853966,0.0187013383906902,0,0,333.03333333333336,1847.7667100463036,PPARG
GO_Molecular_Function_2021,"3',5'-cyclic-GMP phosphodiesterase activity (GO:0047555)",1/7,0.0045417536091676,0.0187013383906902,0,0,277.5138888888889,1497.032601111507,PDE5A
GO_Molecular_Function_2021,icosanoid binding (GO:0050542),1/7,0.0045417536091676,0.0187013383906902,0,0,277.5138888888889,1497.032601111507,PPARG
GO_Molecular_Function_2021,glucose:sodium symporter activity (GO:0005412),1/7,0.0045417536091676,0.0187013383906902,0,0,277.5138888888889,1497.032601111507,SLC5A2
GO_Molecular_Function_2021,vascular endothelial growth factor-activated receptor activity (GO:0005021),1/7,0.0045417536091676,0.0187013383906902,0,0,277.5138888888889,1497.032601111507,KDR
GO_Molecular_Function_2021,bile acid binding (GO:0032052),1/9,0.005835902950749,0.0209403940906872,0,0,208.11458333333331,1070.4844511001115,VDR
GO_Molecular_Function_2021,prostaglandin receptor activity (GO:0004955),1/10,0.006482395492037,0.0209403940906872,0,0,184.9814814814815,932.059746399125,PPARG
GO_Molecular_Function_2021,phosphate ion binding (GO:0042301),1/10,0.006482395492037,0.0209403940906872,0,0,184.9814814814815,932.059746399125,RELA
GO_Molecular_Function_2021,RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629),2/190,0.0065364981153034,0.0209403940906872,0,0,19.14796905222437,96.32105722394527,PPARG;RELA
GO_Molecular_Function_2021,cGMP binding (GO:0030553),1/11,0.00712850018242,0.0209403940906872,0,0,166.475,822.994869532877,PDE5A
GO_Molecular_Function_2021,"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",1/12,0.0077742172076079,0.0209403940906872,0,0,151.33333333333334,735.0172993440868,PDE4D
GO_Molecular_Function_2021,cAMP binding (GO:0030552),1/12,0.0077742172076079,0.0209403940906872,0,0,151.33333333333334,735.0172993440868,PDE4D
GO_Molecular_Function_2021,carbohydrate:cation symporter activity (GO:0005402),1/12,0.0077742172076079,0.0209403940906872,0,0,151.33333333333334,735.0172993440868,SLC5A2
GO_Molecular_Function_2021,DNA-binding transcription factor binding (GO:0140297),2/208,0.0077857739536348,0.0209403940906872,0,0,17.458958517210945,84.7712234385212,PPARG;RELA
GO_Molecular_Function_2021,transcription regulatory region nucleic acid binding (GO:0001067),2/212,0.008077009149265,0.0209403940906872,0,0,17.122943722943724,82.51090475836101,PPARG;RELA
GO_Molecular_Function_2021,RNA polymerase II core promoter sequence-specific DNA binding (GO:0000979),1/14,0.0090644890278939,0.0218798011018129,0,0,128.03846153846155,602.2149225510485,RELA
GO_Molecular_Function_2021,NADPH binding (GO:0070402),1/14,0.0090644890278939,0.0218798011018129,0,0,128.03846153846155,602.2149225510485,HMGCR
GO_Molecular_Function_2021,adrenergic receptor binding (GO:0031690),1/17,0.0109969941425308,0.0256596529992386,0,0,104.015625,469.12433437564215,PDE4D
GO_Molecular_Function_2021,"DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)",2/256,0.011598976294796,0.0261912367947008,0,0,14.125268432355046,62.95403925701707,PPARG;RELA
GO_Molecular_Function_2021,transcription coactivator binding (GO:0001223),1/20,0.0129260209528938,0.0280811948462968,0,0,87.57894736842105,380.8381798737429,RELA
GO_Molecular_Function_2021,glucose transmembrane transporter activity (GO:0005355),1/21,0.0135682578861655,0.0280811948462968,0,0,83.19583333333334,357.74392971285124,SLC5A2
GO_Molecular_Function_2021,DNA binding (GO:0003677),3/811,0.0140093014948475,0.0280811948462968,0,0,7.120915841584158,30.392309338535892,VDR;PPARG;RELA
GO_Molecular_Function_2021,G protein-coupled receptor activity (GO:0004930),2/283,0.0140405974231484,0.0280811948462968,0,0,12.75056615981883,54.39139483061334,ADORA2A;AGTR1
GO_Molecular_Function_2021,alpha-actinin binding (GO:0051393),1/24,0.0154926555661662,0.0299938844311776,0,0,72.33333333333333,301.441152263015,PPARG
GO_Molecular_Function_2021,NF-kappaB binding (GO:0051059),1/25,0.016133351108423,0.0299938844311776,0,0,69.31597222222223,286.05777422638903,RELA
GO_Molecular_Function_2021,adenyl ribonucleotide binding (GO:0032559),2/306,0.0162823944054964,0.0299938844311776,0,0,11.772129186602871,48.4737532261024,PDE4D;HMGCR
