gene,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality
PPARG,12,0.9230769230769231,0.10332722832722833,0.9230769230769231,0.364486228440514
SERPINE1,10,0.7692307692307693,0.0438034188034188,0.7912087912087912,0.3206945275069824
HMGCR,10,0.7692307692307693,0.03815628815628816,0.7912087912087912,0.3256662797114165
AGTR1,10,0.7692307692307693,0.03858363858363858,0.7912087912087912,0.32631489776466643
PDE5A,10,0.7692307692307693,0.03858363858363858,0.7912087912087912,0.3263148977646665
RELA,9,0.6923076923076923,0.025976800976800975,0.7384615384615385,0.3033588848059748
KDR,9,0.6923076923076923,0.018711843711843715,0.7384615384615385,0.3080609591804106
ADORA2A,8,0.6153846153846154,0.017094017094017092,0.6923076923076923,0.270597708302352
ADORA2B,6,0.46153846153846156,0.0018315018315018313,0.6153846153846154,0.22287495665581514
SLC5A2,6,0.46153846153846156,0.005128205128205128,0.6153846153846154,0.2141239868223438
