compound_name,target_name,gene_symbol,uniprot_id,chembl_id,target_class,probability,source
Mangiferin,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,1.0,SwissTargetPrediction
Mangiferin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.106165761464,SwissTargetPrediction
Mangiferin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.106165761464,SwissTargetPrediction
Gallic acid,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,"Alpha-(1,3)-fucosyltransferase 7",FUT7,Q11130,CHEMBL3596077,Transferase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase VB,CA5B,Q9Y2D0,CHEMBL3969,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.99940827534,SwissTargetPrediction
Gallic acid,Squalene monooxygenase   (by homology),SQLE,Q14534,CHEMBL3592,Enzyme,0.150097810701,SwissTargetPrediction
Gallic acid,L-lactate dehydrogenase A chain,LDHA,P00338,CHEMBL4835,Enzyme,0.125075959828,SwissTargetPrediction
Gallic acid,L-lactate dehydrogenase B chain,LDHB,P07195,CHEMBL4940,Enzyme,0.125075959828,SwissTargetPrediction
Gallic acid,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.125075959828,SwissTargetPrediction
Gallic acid,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.125075959828,SwissTargetPrediction
Gallic acid,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.125075959828,SwissTargetPrediction
Gallic acid,Plasminogen activator inhibitor-1,SERPINE1,P05121,CHEMBL3475,Secreted protein,0.125075959828,SwissTargetPrediction
Gallic acid,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.125075959828,SwissTargetPrediction
Gallic acid,Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.116739032206,SwissTargetPrediction
Gallic acid,G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,0.116739032206,SwissTargetPrediction
Gallic acid,Catechol O-methyltransferase   (by homology),COMT,P21964,CHEMBL2023,Transferase,0.116739032206,SwissTargetPrediction
Gallic acid,Thiopurine S-methyltransferase,TPMT,P51580,CHEMBL2500,Enzyme,0.116739032206,SwissTargetPrediction
Quercetin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,1.0,SwissTargetPrediction
Quercetin,Vasopressin V2 receptor,AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Quercetin,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,1.0,SwissTargetPrediction
Quercetin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,1.0,SwissTargetPrediction
Quercetin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,1.0,SwissTargetPrediction
Quercetin,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,1.0,SwissTargetPrediction
Quercetin,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,1.0,SwissTargetPrediction
Quercetin,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,1.0,SwissTargetPrediction
Quercetin,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,1.0,SwissTargetPrediction
Quercetin,Thrombin,F2,P00734,CHEMBL204,Protease,1.0,SwissTargetPrediction
Quercetin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,1.0,SwissTargetPrediction
Quercetin,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,1.0,SwissTargetPrediction
Quercetin,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,1.0,SwissTargetPrediction
